"Variable","All species_Value","All species_SE","All species_SumOfSq","All species_FValue","Jack pine_Value","Jack pine_SE","Jack pine_SumOfSq","Jack pine_FValue","Trembling aspen_Value","Trembling aspen_SE","Trembling aspen_SumOfSq","Trembling aspen_FValue","Black spruce_Value","Black spruce_SE","Black spruce_SumOfSq","Black spruce_FValue","Minor species_Value","Minor species_SE","Minor species_SumOfSq","Minor species_FValue"
"Intercept",-0.912781144649332,0.0370051249584541,NA,NA,-0.52628205554117,0.0499726368691857,NA,NA,-0.361889759367599,0.0556251052115929,NA,NA,-1.45329948606539,0.0617696921651365,NA,NA,-0.838657211390936,0.0488863627773291,NA,NA
"logDBH",NA,NA,NA,NA,0.424755543297273,0.0538136601579562,2146.01599270606,7866.0769249145,0.585047545303528,0.079849351335704,3487.06906657602,11816.6865871211,0.433409071795202,0.0386761272237131,7354.11344760973,26498.9093192229,0.466404236829309,0.0695592711154882,2881.13188804813,9580.60859892288
"logSA",-0.253286125374439,0.0167783691717251,154.778805230143,551.048059219031,-1.06325063823982,0.0474790796706847,73.1731297605825,268.2111733975,-0.607642532081788,0.0562379113625264,19.1097087975684,64.7573751252782,-0.586396629336344,0.04042090724644,36.3981276718864,131.152543598617,-0.447119366678107,0.0994514898351076,1.26422948312507,4.20393384533513
"logH",-0.583777204189634,0.00261078850668362,15697.6500580038,55887.2358906018,-0.718361604565004,0.0196955854871052,2792.6618261611,10236.3136269807,-0.711571532221849,0.0281356379364679,966.931484766021,3276.65615121267,-0.45490627092469,0.0157313132116258,1525.13244479745,5495.47496681982,-0.477537558779505,0.0246689406877353,269.285199739794,895.452273772006
"Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0148049819001582,0.00254236873873003,235.122302436399,781.850619843292
"logDBH:logSA",0.215233180070573,0.0167232795444404,34.5262658182512,122.921428053009,0.332899917845815,0.0435057233779247,39.1575247207907,143.529266645671,0.248725246012099,0.0554850102385589,42.0219864345999,142.400575952314,0.601945821856626,0.048239398086627,15.4056139110893,55.5106973729919,NA,NA,NA,NA
"logDBH:logH",-0.0315278180356378,0.00183958215651431,30.700454090238,109.300660503315,-0.0559111558960837,0.0074895455218122,17.7580825210391,65.0910541320492,-0.0576987927091707,0.00759646732858231,11.3919717150828,38.6041563262358,-0.0567476200229397,0.00374693764895591,21.4032082423017,77.1216922874013,-0.0465717229831827,0.00542763585505058,20.1496883148392,67.003623796461
"logDBH:Year",-0.0195550168121825,0.00139509458724131,141.759042984248,504.694718356722,NA,NA,NA,NA,NA,NA,NA,NA,-0.0119429399897916,0.00267071345828247,123.192998909281,443.898524290673,NA,NA,NA,NA
"logH:logSA",0.181673763761266,0.00826353210701161,135.760991894209,483.340280277506,0.193903504220876,0.0256605394962441,15.5781009753858,57.1004787629535,0.294998451813663,0.0281193510989237,32.4783320123119,110.059841928739,0.378064596108918,0.0234804160909597,71.948669680383,259.251001100462,0.127630324141568,0.0141356262991067,24.5158906154454,81.5225271064249
"logSA:Year",NA,NA,NA,NA,-0.031253724599281,0.00270505544247148,34.3287585367577,125.829749780405,-0.050692850752262,0.0035103125601822,36.2144728518128,122.72056200707,NA,NA,NA,NA,NA,NA,NA,NA
"logH:Year",-0.0129775121794652,0.000592131133185939,66.9063022955125,238.201787219145,-0.0238760522203362,0.000856004834589706,170.968315453371,626.67283265837,-0.0107792605140784,0.000870078752029785,19.3013553786072,65.4068109524418,-0.0116913958122737,0.00125810351005752,1.02731840416292,3.70171298387163,-0.00343782964188231,0.000664599238141001,4.08923676191865,13.5979116564534
