"","species","coeffs","Variable","Value","SE","p-value"
"1","All","a","(Intercept)",-0.739141161559343,0.0526771241546729,1.27166785248568e-44
"2","All","b1","logDBHctd",0.322486453487913,0.0364503881192391,9.32248004131556e-19
"3","All","b2","Yearctd",0.0201123774421547,0.00264561995383593,2.97537411004516e-14
"4","All","b3","logIntraHctd",-0.496455819506249,0.0106099425259932,0
"5","All","b4","logInterHctd",-0.102677389532544,0.00640795054238664,1.31845132775349e-57
"6","All","b5","RBIctd",0.0094707221883853,0.000473836174199452,1.89698068581742e-88
"7","All","b6","logSActd",-0.416484571371727,0.0981936974995862,2.22563244072889e-05
"8","All","b7","logSBctd",-0.44852637278606,0.0295685604743627,7.87373229175922e-52
"9","All","c1","logDBHctd:Yearctd",-0.00362037293590529,0.00205422039131891,0.0780080490526114
"10","All","c2","logDBHctd:logIntraHctd",0.0197772891985233,0.00834946001010361,0.0178558313394853
"11","All","c3","logDBHctd:logInterHctd",0.0629050847237056,0.00665063556678613,3.28515683948731e-21
"12","All","c4","logDBHctd:RBIctd",0.0163845271155829,0.000824293383864059,1.68178355215043e-87
"13","All","c5","logDBHctd:logSActd",0.27994076733908,0.0455209530590071,7.83471623529847e-10
"14","All","c6","logDBHctd:logSBctd",0.109526722588785,0.0186723647795415,4.50672884628222e-09
"15","All","c7","Yearctd:logIntraHctd",0.000358793131258831,0.000723421583603665,0.619920482019441
"16","All","c8","Yearctd:logInterHctd",0.000325188457665572,0.000394021563660086,0.409202604107789
"17","All","c9","Yearctd:RBIctd",0.000529116399361684,3.03092632288643e-05,5.38151747223623e-68
"18","All","c10","Yearctd:logSActd",-0.00446230678574466,0.00237621580788057,0.0604013803907267
"19","All","c11","Yearctd:logSBctd",-0.018436290985085,0.00146636466558256,3.48230360570846e-36
"20","All","c12","logIntraHctd:logInterHctd",0.0912211334256599,0.00416468122458345,9.89696757510107e-106
"21","All","c13","logIntraHctd:RBIctd",0.00549486340651236,0.000318142172895798,1.33127592823236e-66
"22","All","c14","logIntraHctd:logSActd",0.0785426122522165,0.0158779923692475,7.58096679629483e-07
"23","All","c15","logIntraHctd:logSBctd",-0.00222159184622368,0.0104403308297156,0.831492293724798
"24","All","c16","logInterHctd:RBIctd",0.00250326801141009,0.000182993680774075,1.67270094756781e-42
"25","All","c17","logInterHctd:logSActd",0.10932949611781,0.0114604670803905,1.50901164046563e-21
"26","All","c18","logInterHctd:logSBctd",-0.0549152237137277,0.00597520133557742,4.08923794341774e-20
"27","All","c19","RBIctd:logSActd",-0.0161559851486606,0.000955348320127205,6.18000060269372e-64
"28","All","c20","RBIctd:logSBctd",-0.000924020765894125,0.000714908720454954,0.196190812012024
"29","All","c21","logSActd:logSBctd",-0.354042238341723,0.0337293044127737,9.66513847589286e-26
"30","JP","a","(Intercept)",-0.30531076462414,0.103540126017875,0.00319760834428534
"31","JP","b1","logDBHctd",0.922832726037106,0.084989088776991,2.50199692118213e-27
"32","JP","b2","Yearctd",0.0255672013007074,0.00532101495865701,1.5682496496032e-06
"33","JP","b3","logIntraHctd",-0.621466405308439,0.0246502974930945,2.03724992140668e-136
"34","JP","b4","logInterHctd",-0.0102372146574938,0.0137567501639532,0.456795860743649
"35","JP","b5","RBIctd",0.000586461091426884,0.00115178975755865,0.610640604736024
"36","JP","b6","logSActd",-0.954634321189558,0.173270955047223,3.67930818728741e-08
"37","JP","b7","logSBctd",-0.746699432791887,0.0602350466650465,4.66759878733941e-35
"38","JP","c1","logDBHctd:Yearctd",-0.0237717254294112,0.00831095722676163,0.00424049627467753
"39","JP","c2","logDBHctd:logIntraHctd",-0.0045164433772603,0.0264720111631611,0.864531962697458
"40","JP","c3","logDBHctd:logInterHctd",0.2151836550475,0.0329898160134399,7.20502705033513e-11
"41","JP","c4","logDBHctd:RBIctd",0.0138205897744018,0.00236514549889529,5.25751069980418e-09
"42","JP","c5","logDBHctd:logSActd",1.41568476638357,0.134309868833707,7.45559403171208e-26
"43","JP","c6","logDBHctd:logSBctd",0.0259323310909353,0.0344860494457719,0.452087595851117
"44","JP","c7","Yearctd:logIntraHctd",-0.021943289147219,0.00296174659959892,1.3662482237626e-13
"45","JP","c8","Yearctd:logInterHctd",-0.00571007503059876,0.00113317063355799,4.75300688425543e-07
"46","JP","c9","Yearctd:RBIctd",0.00056874673841758,7.80505211377379e-05,3.38750084621324e-13
"47","JP","c10","Yearctd:logSActd",-0.0395592843260001,0.0051736685104211,2.24021505287338e-14
"48","JP","c11","Yearctd:logSBctd",-0.0010167466678428,0.00402597365022097,0.800623153630748
"49","JP","c12","logIntraHctd:logInterHctd",0.0730739216946,0.0130320139882531,2.10479965428863e-08
"50","JP","c13","logIntraHctd:RBIctd",0.005239932670327,0.0010380748606585,4.54174845669866e-07
"51","JP","c14","logIntraHctd:logSActd",0.419101859925412,0.055737406625966,5.93657569549571e-14
"52","JP","c15","logIntraHctd:logSBctd",0.0518258682197019,0.024504644947318,0.0344573031544954
"53","JP","c16","logInterHctd:RBIctd",-0.00201850791574443,0.00051787400809519,9.76908469413232e-05
"54","JP","c17","logInterHctd:logSActd",-0.0719761830918046,0.0365261035656781,0.0488012938088316
"55","JP","c18","logInterHctd:logSBctd",-0.164161517793359,0.0200267125910395,2.7334518439196e-16
"56","JP","c19","RBIctd:logSActd",-0.019030671367365,0.0026679507770002,1.04287163362031e-12
"57","JP","c20","RBIctd:logSBctd",0.0026838247202513,0.00163273893828826,0.100254983744898
"58","JP","c21","logSActd:logSBctd",-0.847764281506628,0.0780331710715574,2.34695967723051e-27
"59","BS","a","(Intercept)",-1.4667347480123,0.0685865448445916,4.60145843036658e-100
"60","BS","b1","logDBHctd",0.212339753079611,0.0542712424719543,9.1698728853845e-05
"61","BS","b2","Yearctd",0.0160346399806688,0.00307436310786887,1.85509581729265e-07
"62","BS","b3","logIntraHctd",-0.410531644974192,0.0152992607423399,3.50951289272395e-155
"63","BS","b4","logInterHctd",-0.141001065202112,0.0133173782819433,4.14416758187068e-26
"64","BS","b5","RBIctd",0.00958053664791724,0.000988049140958289,3.59380768241451e-22
"65","BS","b6","logSActd",-0.0797449447148694,0.147378821386395,0.588454308147318
"66","BS","b7","logSBctd",-0.383798899935051,0.0598950191185057,1.51701348989873e-10
"67","BS","c1","logDBHctd:Yearctd",-0.0149797416853549,0.00321694947346472,3.24207473076884e-06
"68","BS","c2","logDBHctd:logIntraHctd",-0.0762395517903521,0.0138988728686279,4.19018967256583e-08
"69","BS","c3","logDBHctd:logInterHctd",0.0308996804182024,0.0129521979572724,0.0170595675978555
"70","BS","c4","logDBHctd:RBIctd",0.0107489298464671,0.00139794920170961,1.56793724163594e-14
"71","BS","c5","logDBHctd:logSActd",0.409876682411322,0.0854828851869955,1.64270367694547e-06
"72","BS","c6","logDBHctd:logSBctd",-0.0603218884434656,0.0451614824820309,0.181668548669675
"73","BS","c7","Yearctd:logIntraHctd",0.000423825716463926,0.00127291495080583,0.739171239178089
"74","BS","c8","Yearctd:logInterHctd",-0.00346260089602237,0.000708414739172836,1.02948859622347e-06
"75","BS","c9","Yearctd:RBIctd",0.000698355496368565,5.34666018111125e-05,8.6253884876211e-39
"76","BS","c10","Yearctd:logSActd",-0.0152600020083211,0.00405836342502924,0.000170424963905807
"77","BS","c11","Yearctd:logSBctd",-0.00802675792314021,0.00317258161343408,0.0114144697369258
"78","BS","c12","logIntraHctd:logInterHctd",0.0425788123982408,0.00822552292713623,2.28914145636402e-07
"79","BS","c13","logIntraHctd:RBIctd",0.00662843353451921,0.000575713443063872,1.48965586859118e-30
"80","BS","c14","logIntraHctd:logSActd",0.103543084188569,0.0336894582655957,0.00211950473175096
"81","BS","c15","logIntraHctd:logSBctd",-0.0918256296583033,0.0189167130100165,1.22010313930235e-06
"82","BS","c16","logInterHctd:RBIctd",0.000577418049964169,0.000395614564582023,0.144434248664914
"83","BS","c17","logInterHctd:logSActd",0.144499865232691,0.0247502438342243,5.37506914617444e-09
"84","BS","c18","logInterHctd:logSBctd",0.0725460033492727,0.0193279000157049,0.000175045049202704
"85","BS","c19","RBIctd:logSActd",-0.0170241241631835,0.00213136326695884,1.47089217541267e-15
"86","BS","c20","RBIctd:logSBctd",0.00416872112074005,0.00145503021204913,0.00417498339044301
"87","BS","c21","logSActd:logSBctd",0.209096058946447,0.0710676077871207,0.00326342806155962
"88","TA","a","(Intercept)",-0.49376972776965,0.0775102961754972,1.98898530220596e-10
"89","TA","b1","logDBHctd",1.56597941110803,0.0947071235648191,2.01322945204604e-60
"90","TA","b2","Yearctd",0.00439667515948047,0.0049389280011673,0.373380545853606
"91","TA","b3","logIntraHctd",-0.275194476534866,0.0259090683979279,3.5215750469101e-26
"92","TA","b4","logInterHctd",-0.0653855326540156,0.0165086642710524,7.53797515458733e-05
"93","TA","b5","RBIctd",0.0100150718476731,0.000993068596864526,8.90295569949509e-24
"94","TA","b6","logSActd",-0.0923781764817492,0.164827068844093,0.575184600247457
"95","TA","b7","logSBctd",-0.583203782265628,0.066951248834824,3.61728623306945e-18
"96","TA","c1","logDBHctd:Yearctd",-0.00523135896395142,0.0083492229867423,0.530959942656957
"97","TA","c2","logDBHctd:logIntraHctd",-0.024350389844911,0.028261228692405,0.388923245770506
"98","TA","c3","logDBHctd:logInterHctd",-0.0562772829572289,0.0216687286702823,0.00941671835387644
"99","TA","c4","logDBHctd:RBIctd",-0.000334241048882569,0.0023184804171004,0.885374692178166
"100","TA","c5","logDBHctd:logSActd",-0.273901760975508,0.191740857487936,0.153186790921413
"101","TA","c6","logDBHctd:logSBctd",0.0582857990449183,0.0824805728324076,0.479797619032148
"102","TA","c7","Yearctd:logIntraHctd",-0.00880982820806169,0.0024574455723885,0.000339129990194455
"103","TA","c8","Yearctd:logInterHctd",-0.00292178379670937,0.00148782966891667,0.0495888373046233
"104","TA","c9","Yearctd:RBIctd",0.000311523047078344,7.65353274337742e-05,4.73973358834187e-05
"105","TA","c10","Yearctd:logSActd",-0.0115383914464005,0.00738736933227864,0.118348883635059
"106","TA","c11","Yearctd:logSBctd",-0.0414795606188185,0.00578695209731905,8.29572168064947e-13
"107","TA","c12","logIntraHctd:logInterHctd",0.0281419045415929,0.010846163764989,0.00948610126733614
"108","TA","c13","logIntraHctd:RBIctd",0.000569306068227716,0.00090439811891423,0.529048675310873
"109","TA","c14","logIntraHctd:logSActd",0.350408053621501,0.0652727999068799,8.16648930739007e-08
"110","TA","c15","logIntraHctd:logSBctd",-0.210346494634006,0.0393864749049975,9.51766675434234e-08
"111","TA","c16","logInterHctd:RBIctd",0.00164169953049335,0.000430507663691962,0.000138087646360995
"112","TA","c17","logInterHctd:logSActd",-0.0772899451870436,0.0466588591110854,0.0976614681659026
"113","TA","c18","logInterHctd:logSBctd",0.262305906532565,0.0208628242019624,6.4551568945864e-36
"114","TA","c19","RBIctd:logSActd",-0.000514468902741429,0.00260252221381021,0.843299724327979
"115","TA","c20","RBIctd:logSBctd",0.00522859538711835,0.00200644596846039,0.00918018764670053
"116","TA","c21","logSActd:logSBctd",0.145144847512398,0.116010033468663,0.210919515831808
"117","Other","a","(Intercept)",-0.970938661159101,0.0482567391799355,7.84420461764113e-87
"118","Other","b1","logDBHctd",0.791729330373138,0.0926545759910852,1.65995226603832e-17
"119","Other","b2","Yearctd",-0.0203349536684699,0.00317788970673778,1.69938334187097e-10
"120","Other","b3","logIntraHctd",-0.289052298997404,0.0193361812914729,1.59243233280615e-49
"121","Other","b4","logInterHctd",-0.170980732103318,0.0259140833857684,4.57281364999308e-11
"122","Other","b5","RBIctd",0.00581266334731024,0.00121280819652896,1.6900840266497e-06
"123","Other","b6","logSActd",-0.271380191544231,0.124943016345828,0.029897355035089
"124","Other","b7","logSBctd",-0.118920740585639,0.0789564654123138,0.132086624530285
"125","Other","c1","logDBHctd:Yearctd",0.0126309241155516,0.00631243992952539,0.045447749244156
"126","Other","c2","logDBHctd:logIntraHctd",-0.0175592014013616,0.0306431822655348,0.566654405733657
"127","Other","c3","logDBHctd:logInterHctd",-0.003364623415748,0.017515480476226,0.847675705326703
"128","Other","c4","logDBHctd:RBIctd",0.00536911749888303,0.00247940826425111,0.0303950401909979
"129","Other","c5","logDBHctd:logSActd",0.425012004128252,0.19452632761612,0.0289429533111483
"130","Other","c6","logDBHctd:logSBctd",0.344861503750616,0.104419922879078,0.000964121957312603
"131","Other","c7","Yearctd:logIntraHctd",0.0010568887302743,0.00145312649123116,0.467061671166102
"132","Other","c8","Yearctd:logInterHctd",-0.000391087086658935,0.00188176786289789,0.835369975288011
"133","Other","c9","Yearctd:RBIctd",-9.59844690935408e-05,0.00010631989317566,0.366678622329424
"134","Other","c10","Yearctd:logSActd",0.0507870407562437,0.00660781181266462,1.79791924996452e-14
"135","Other","c11","Yearctd:logSBctd",-0.0606066081013154,0.00553686584449717,1.36596904904347e-27
"136","Other","c12","logIntraHctd:logInterHctd",0.0376158269632571,0.0158625336216897,0.0177580644680607
"137","Other","c13","logIntraHctd:RBIctd",0.0011434504578416,0.000691610417522705,0.0983256807183183
"138","Other","c14","logIntraHctd:logSActd",0.0387006697604056,0.0346322308499803,0.263841594309833
"139","Other","c15","logIntraHctd:logSBctd",0.0229877787941938,0.0300761749528688,0.444711369316221
"140","Other","c16","logInterHctd:RBIctd",7.35140068105716e-05,0.000663508237094235,0.911782364219793
"141","Other","c17","logInterHctd:logSActd",0.176433748059993,0.0798712821882486,0.0272188267367788
"142","Other","c18","logInterHctd:logSBctd",0.0918543082617387,0.0380895140159908,0.0159191020305255
"143","Other","c19","RBIctd:logSActd",-0.0150467991844855,0.00339843499927063,9.72122103001357e-06
"144","Other","c20","RBIctd:logSBctd",-0.00107186585677501,0.00254574351850369,0.673741181628094
"145","Other","c21","logSActd:logSBctd",-0.412333352759865,0.130436852148496,0.00158019142069431
